NOTA,Rango,Año,EA,EG,BT
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.67,2,2023,0,0,0
0.76,3,2023,0,0,0
0.78,3,2023,0,0,0
0.87,5,2023,0,0,0
0.60,2,2023,0,0,0
0.71,3,2023,0,0,0
0.74,3,2023,0,0,0
0.88,5,2023,0,0,0
0.92,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
0.00,1,2023,0,0,0
0.59,2,2023,0,0,0
0.71,3,2023,0,0,0
0.80,4,2023,0,0,0
0.00,1,2023,0,0,0
0.45,1,2023,0,0,0
0.68,2,2023,0,0,0
0.93,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.65,2,2023,0,0,0
0.82,4,2023,0,0,0
0.84,4,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,6,2023,0,0,0
0.92,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.50,1,2023,0,0,0
0.61,2,2023,0,0,0
0.63,2,2023,0,0,0
0.63,2,2023,0,0,0
0.66,2,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.92,6,2023,0,0,0
0.48,1,2023,0,0,0
0.60,2,2023,0,0,0
0.60,2,2023,0,0,0
0.63,2,2023,0,0,0
0.69,2,2023,0,0,0
0.71,3,2023,0,0,0
0.75,3,2023,0,0,0
0.76,3,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.92,6,2023,0,0,0
0.92,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.97,6,2023,0,0,0
0.00,1,2023,0,0,0
0.52,2,2023,0,0,0
0.57,2,2023,0,0,0
0.59,2,2023,0,0,0
0.61,2,2023,0,0,0
0.71,3,2023,0,0,0
0.77,3,2023,0,0,0
0.79,3,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.87,5,2023,0,0,0
0.91,6,2023,0,0,0
0.92,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
0.00,1,2023,0,0,0
0.56,2,2023,0,0,0
0.71,3,2023,0,0,0
0.76,3,2023,0,0,0
0.85,5,2023,0,0,0
0.86,5,2023,0,0,0
0.86,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.93,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.76,3,2023,0,0,0
0.76,3,2023,0,0,0
0.76,3,2023,0,0,0
0.78,3,2023,0,0,0
0.80,4,2023,0,0,0
0.82,4,2023,0,0,0
0.84,4,2023,0,0,0
0.86,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.72,3,2023,0,0,0
1.00,6,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,5,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.67,2,2023,0,0,0
0.82,4,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.26,1,2023,0,0,0
0.61,2,2023,0,0,0
0.65,2,2023,0,0,0
0.71,3,2023,0,0,0
0.74,3,2023,0,0,0
0.75,3,2023,0,0,0
0.91,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.68,2,2023,0,0,0
0.71,3,2023,0,0,0
0.76,3,2023,0,0,0
0.76,3,2023,0,0,0
0.81,4,2023,0,0,0
0.82,4,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.85,5,2023,0,0,0
0.89,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
1.00,6,2023,0,0,0
0.54,2,2023,0,0,0
0.00,1,2023,0,0,0
0.52,2,2023,0,0,0
0.65,2,2023,0,0,0
0.70,2,2023,0,0,0
0.75,3,2023,0,0,0
0.80,3,2023,0,0,0
0.81,4,2023,0,0,0
0.84,4,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.96,6,2023,0,0,0
0.98,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.00,1,2023,0,0,0
0.57,2,2023,0,0,0
0.62,2,2023,0,0,0
0.80,4,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,6,2023,0,0,0
0.91,6,2023,0,0,0
0.94,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.50,1,2023,0,0,0
0.57,2,2023,0,0,0
0.66,2,2023,0,0,0
0.76,3,2023,0,0,0
0.77,3,2023,0,0,0
0.80,3,2023,0,0,0
0.80,3,2023,0,0,0
0.80,4,2023,0,0,0
0.81,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.84,4,2023,0,0,0
0.85,5,2023,0,0,0
0.91,5,2023,0,0,0
0.93,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.67,2,2023,0,0,0
0.72,3,2023,0,0,0
0.75,3,2023,0,0,0
0.76,3,2023,0,0,0
0.77,3,2023,0,0,0
0.77,3,2023,0,0,0
0.82,4,2023,0,0,0
0.85,4,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,6,2023,0,0,0
0.91,6,2023,0,0,0
0.91,6,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.79,3,2023,0,0,0
0.91,5,2023,0,0,0
0.96,6,2023,0,0,0
0.70,2,2023,0,0,0
0.78,3,2023,0,0,0
0.79,3,2023,0,0,0
0.83,4,2023,0,0,0
0.87,5,2023,0,0,0
0.91,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.00,1,2023,0,0,0
0.80,4,2023,0,0,0
0.96,6,2023,0,0,0
0.00,1,2023,0,0,0
0.94,6,2023,0,0,0
0.00,1,2023,0,0,0
0.75,3,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.87,5,2023,0,0,0
0.89,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.95,6,2023,0,0,0
1.00,6,2023,0,0,0
0.86,5,2023,0,0,0
0.43,1,2023,0,0,0
0.43,1,2023,0,0,0
0.59,2,2023,0,0,0
0.63,2,2023,0,0,0
0.76,3,2023,0,0,0
0.79,3,2023,0,0,0
0.79,3,2023,0,0,0
0.80,4,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.85,4,2023,0,0,0
0.85,5,2023,0,0,0
0.86,5,2023,0,0,0
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.90,5,2023,0,0,0
0.90,5,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
0.84,4,2023,0,0,0
0.00,1,2023,0,0,0
0.00,1,2023,0,0,0
0.00,1,2023,0,0,0
0.00,1,2023,0,0,0
0.71,3,2023,0,0,0
0.73,3,2023,0,0,0
0.73,3,2023,0,0,0
0.73,3,2023,0,0,0
0.73,3,2023,0,0,0
0.74,3,2023,0,0,0
0.74,3,2023,0,0,0
0.80,3,2023,0,0,0
0.84,4,2023,0,0,0
0.85,4,2023,0,0,0
0.86,5,2023,0,0,0
0.88,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.96,6,2023,0,0,0
0.98,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.96,6,2023,0,0,0
0.77,3,2023,0,0,0
0.78,3,2023,0,0,0
0.79,3,2023,0,0,0
0.90,5,2023,0,0,0
0.92,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.92,6,2023,0,0,0
0.95,6,2023,0,0,0
0.00,1,2023,0,0,0
0.00,1,2023,0,0,0
0.44,1,2023,0,0,0
0.52,2,2023,0,0,0
0.72,3,2023,0,0,0
0.73,3,2023,0,0,0
0.79,3,2023,0,0,0
0.83,4,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.53,2,2023,0,0,0
0.54,2,2023,0,0,0
0.55,2,2023,0,0,0
0.59,2,2023,0,0,0
0.68,2,2023,0,0,0
0.78,3,2023,0,0,0
0.79,3,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.85,4,2023,0,0,0
0.85,4,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.92,6,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.60,2,2023,0,0,0
0.70,2,2023,0,0,0
0.70,3,2023,0,0,0
0.71,3,2023,0,0,0
0.72,3,2023,0,0,0
0.73,3,2023,0,0,0
0.74,3,2023,0,0,0
0.75,3,2023,0,0,0
0.77,3,2023,0,0,0
0.77,3,2023,0,0,0
0.78,3,2023,0,0,0
0.79,3,2023,0,0,0
0.80,4,2023,0,0,0
0.81,4,2023,0,0,0
0.81,4,2023,0,0,0
0.81,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.91,6,2023,0,0,0
0.91,6,2023,0,0,0
0.92,6,2023,0,0,0
0.95,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.84,4,2023,0,0,0
0.74,3,2023,0,0,0
0.78,3,2023,0,0,0
0.78,3,2023,0,0,0
0.78,3,2023,0,0,0
0.79,3,2023,0,0,0
0.81,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.85,5,2023,0,0,0
0.87,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.63,2,2023,0,0,0
0.87,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,6,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.85,5,2023,0,0,0
0.87,5,2023,0,0,0
0.89,5,2023,0,0,0
1.00,6,2023,0,0,0
0.81,4,2023,0,0,0
0.84,4,2023,0,0,0
0.85,4,2023,0,0,0
0.89,5,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.73,3,2023,0,0,0
0.75,3,2023,0,0,0
0.79,3,2023,0,0,0
0.82,4,2023,0,0,0
0.88,5,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.34,1,2023,0,0,0
0.64,2,2023,0,0,0
0.64,2,2023,0,0,0
0.69,2,2023,0,0,0
0.74,3,2023,0,0,0
0.74,3,2023,0,0,0
0.79,3,2023,0,0,0
0.87,5,2023,0,0,0
0.89,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.96,6,2023,0,0,0
0.98,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.39,1,2023,0,0,0
0.80,3,2023,0,0,0
0.80,4,2023,0,0,0
0.83,4,2023,0,0,0
0.90,5,2023,0,0,0
0.90,5,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
0.98,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.38,1,2023,0,0,0
0.72,3,2023,0,0,0
0.80,3,2023,0,0,0
0.82,4,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.85,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.41,1,2023,0,0,0
0.67,2,2023,0,0,0
0.72,3,2023,0,0,0
0.73,3,2023,0,0,0
0.74,3,2023,0,0,0
0.75,3,2023,0,0,0
0.77,3,2023,0,0,0
0.87,5,2023,0,0,0
0.87,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.75,3,2023,0,0,0
0.77,3,2023,0,0,0
0.80,4,2023,0,0,0
0.91,5,2023,0,0,0
0.95,6,2023,0,0,0
1.00,6,2023,0,0,0
0.18,1,2023,0,0,0
0.78,3,2023,0,0,0
0.80,4,2023,0,0,0
0.85,4,2023,0,0,0
0.85,5,2023,0,0,0
0.86,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
0.56,2,2023,0,0,0
0.75,3,2023,0,0,0
0.91,5,2023,0,0,0
0.93,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.80,4,2023,0,0,0
0.84,4,2023,0,0,0
0.89,5,2023,0,0,0
0.93,6,2023,0,0,0
0.96,6,2023,0,0,0
0.95,6,2023,0,0,0
0.00,1,2023,0,0,0
0.79,3,2023,0,0,0
0.89,5,2023,0,0,0
0.89,5,2023,0,0,0
0.95,6,2023,0,0,0
0.81,4,2023,0,0,0
0.75,3,2023,0,0,0
0.78,3,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.90,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.53,2,2023,0,0,0
0.61,2,2023,0,0,0
0.69,2,2023,0,0,0
0.74,3,2023,0,0,0
0.77,3,2023,0,0,0
0.84,4,2023,0,0,0
0.85,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.62,2,2023,0,0,0
0.80,3,2023,0,0,0
0.83,4,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.81,4,2023,0,0,0
0.55,2,2023,0,0,0
0.70,3,2023,0,0,0
0.70,3,2023,0,0,0
0.76,3,2023,0,0,0
0.80,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.89,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.92,6,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.00,1,2023,0,0,0
0.00,1,2023,0,0,0
0.36,1,2023,0,0,0
0.51,2,2023,0,0,0
0.60,2,2023,0,0,0
0.76,3,2023,0,0,0
0.77,3,2023,0,0,0
0.78,3,2023,0,0,0
0.79,3,2023,0,0,0
0.80,4,2023,0,0,0
0.81,4,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.85,4,2023,0,0,0
0.86,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.94,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.57,2,2023,0,0,0
0.82,4,2023,0,0,0
0.87,5,2023,0,0,0
0.90,5,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.63,2,2023,0,0,0
0.72,3,2023,0,0,0
0.77,3,2023,0,0,0
0.80,3,2023,0,0,0
0.89,5,2023,0,0,0
0.91,6,2023,0,0,0
0.92,6,2023,0,0,0
0.92,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.64,2,2023,0,0,0
0.70,2,2023,0,0,0
0.75,3,2023,0,0,0
0.76,3,2023,0,0,0
0.78,3,2023,0,0,0
0.83,4,2023,0,0,0
0.85,4,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.74,3,2023,0,0,0
0.74,3,2023,0,0,0
0.77,3,2023,0,0,0
0.78,3,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.45,1,2023,0,0,0
0.62,2,2023,0,0,0
0.73,3,2023,0,0,0
0.76,3,2023,0,0,0
0.76,3,2023,0,0,0
0.78,3,2023,0,0,0
0.80,4,2023,0,0,0
0.90,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.94,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.00,1,2023,0,0,0
0.77,3,2023,0,0,0
0.84,4,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.91,6,2023,0,0,0
0.93,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.98,6,2023,0,0,0
0.52,2,2023,0,0,0
0.54,2,2023,0,0,0
0.57,2,2023,0,0,0
0.75,3,2023,0,0,0
0.80,4,2023,0,0,0
0.80,4,2023,0,0,0
0.83,4,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
0.98,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.64,2,2023,0,0,0
0.43,1,2023,0,0,0
0.53,2,2023,0,0,0
0.65,2,2023,0,0,0
0.69,2,2023,0,0,0
0.69,2,2023,0,0,0
0.70,3,2023,0,0,0
0.71,3,2023,0,0,0
0.74,3,2023,0,0,0
0.75,3,2023,0,0,0
0.75,3,2023,0,0,0
0.78,3,2023,0,0,0
0.78,3,2023,0,0,0
0.79,3,2023,0,0,0
0.80,3,2023,0,0,0
0.80,4,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.92,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.84,4,2023,0,0,0
0.85,5,2023,0,0,0
0.86,5,2023,0,0,0
0.86,5,2023,0,0,0
0.88,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.94,6,2023,0,0,0
0.91,5,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.93,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.44,1,2023,0,0,0
0.73,3,2023,0,0,0
0.74,3,2023,0,0,0
0.78,3,2023,0,0,0
0.81,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.86,5,2023,0,0,0
0.86,5,2023,0,0,0
0.86,5,2023,0,0,0
0.87,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,6,2023,0,0,0
0.93,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.24,1,2023,0,0,0
0.37,1,2023,0,0,0
0.59,2,2023,0,0,0
0.61,2,2023,0,0,0
0.72,3,2023,0,0,0
0.72,3,2023,0,0,0
0.74,3,2023,0,0,0
0.74,3,2023,0,0,0
0.79,3,2023,0,0,0
0.80,3,2023,0,0,0
0.81,4,2023,0,0,0
0.81,4,2023,0,0,0
0.81,4,2023,0,0,0
0.81,4,2023,0,0,0
0.85,5,2023,0,0,0
0.87,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,6,2023,0,0,0
0.91,6,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.76,3,2023,0,0,0
0.77,3,2023,0,0,0
0.78,3,2023,0,0,0
0.87,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,6,2023,0,0,0
0.91,6,2023,0,0,0
0.92,6,2023,0,0,0
0.92,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
0.50,2,2023,0,0,0
0.81,4,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
1.00,6,2023,0,0,0
0.86,5,2023,0,0,0
0.00,1,2023,0,0,0
0.63,2,2023,0,0,0
0.80,3,2023,0,0,0
0.80,4,2023,0,0,0
0.84,4,2023,0,0,0
0.85,4,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.00,1,2023,0,0,0
0.67,2,2023,0,0,0
0.78,3,2023,0,0,0
0.80,3,2023,0,0,0
0.80,3,2023,0,0,0
0.82,4,2023,0,0,0
0.84,4,2023,0,0,0
0.86,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.94,6,2023,0,0,0
0.56,2,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.91,6,2023,0,0,0
0.93,6,2023,0,0,0
0.95,6,2023,0,0,0
0.56,2,2023,0,0,0
0.61,2,2023,0,0,0
0.78,3,2023,0,0,0
0.78,3,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.90,5,2023,0,0,0
0.92,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.43,1,2023,0,0,0
0.77,3,2023,0,0,0
0.87,5,2023,0,0,0
0.92,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.84,4,2023,0,0,0
0.86,5,2023,0,0,0
0.72,3,2023,0,0,0
0.91,5,2023,0,0,0
0.32,1,2023,0,0,0
0.61,2,2023,0,0,0
0.73,3,2023,0,0,0
0.79,3,2023,0,0,0
